net,length_um
top_I.branch\[0\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[0\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[10\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[13\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[14\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[15\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[16\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[16\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[16\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[16\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[16\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[16\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[17\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[18\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[19\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[1\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[2\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[3\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[7\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[8\].um_I.k_zero,115.16µm
top_I.branch\[4\].check_mask.block\[9\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[0\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[10\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[11\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[1\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[2\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[3\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[4\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[5\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[6\].um_I.k_zero,115.16µm
top_I.branch\[5\].check_mask.block\[7\].um_I.k_zero,115.16µm
